	sentence	type	point
4579	Chất lượng sản phẩm tuyệt vời.	POS	5
4580	Thời gian giao hàng rất nhanh.	POS	4
4581	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
4582	Thanks shop nhé.	POS	4
4583	Phần áo bên trong bị dơ, là rất dơ luôn có mùi rất khó chịu=< Đóng gói sản phẩm rất đẹp Shop phục vụ tạm được.	NEG	1
4584	quần thì nhỏ quá!	NEU	3
4585	Cảm giác thoải mái.	POS	4
4586	Eo mk 75cm nhưng mặc size L vẫn rộng Shop phục vụ rất tốt.	POS	4
4587	Shop lam an uy tín thi nên khăc phục điểm nay nhé.đừng để khách hàng co s.nghi khi ib hoỉ mua hag thi t.lời liền Còn khi khách cần đổi hag ib thi im re..như zay lam sao zam mua lần.	POS	4
4588	Chấp nhận được ạ.	NEU	3
4589	Bơm yếu.	NEU	3
4590	Mua 3 lần rồi và rất hài lòng 😍😍😍 ủng hộ shop dài dài.	POS	5
4591	Hàng rất ưng ý ạk 😽 màu rất bắt ảnh.	POS	4
4592	Gói hàng ko chắc chắn lắm.nhưng sp giống hình.cho sop 5 sao.	POS	5
4593	Bị rách mũ, k có dây ở mũ như hình, áo gió 2 lớp .	NEG	1
4594	Thời gian giao hàng tạm được Shop phục vụ tạm được Giá cả chấp nhận được.	NEU	3
4595	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt.	POS	5
4596	Đóng gói sản phẩm chắc chắn.	NEU	3
4597	Hộp cầm chắc tay.	NEU	3
4598	Chất vải đẹp...😍 😍 😍.	NEU	3
4599	Vẫn ủng hộ shop 5* nhưng hi vọng nghe và sửa theo góp ý của ng tiêu dùng.	NEU	3
4600	Đẹp.	POS	4
4601	Nhưng chất lượng giày Okay.	POS	4
4602	chat dep. rat ung.	POS	4
4603	Ncl siêu ưng ạ <3.	POS	5
4604	Đẹp y như ảnh ship hang nhanh nữa.	POS	4
4605	Rất đáng tiền.	NEU	3
4606	"Phải nhắn tin ""nhờ"" hủy đơn hàng mới được hủy."	NEU	3
4607	Áo đẹp nên em đã đặt 2 chiếc mặc thay đổi.	POS	4
4608	Hàng chán , dịch vụ dở.	NEG	2
4609	Hàng đẹp.	POS	4
4610	giao hàng nhanh, áo form đẹp như hình.	POS	4
4611	Chất lượng sản phẩm tuyệt vời, nhưng đóng gói chưa đẹp.	POS	4
4612	chất lượng sản phẩm ok, hợp giá tiền, vải mềm mặc thoải mái, sẽ ủng hộ shop tiếp.	POS	5
4613	Vải rất đẹp.	POS	4
4614	Chất lượng sản phẩm tuyệt vời, thích lắm.	POS	5
4615	Chất lượng áo tốt, giá rẻ, tuy nhiên giao sai màu đã đặt.	POS	4
4616	Chất lượng sản phẩm tạm được có soc soc k thjk xấu.	POS	4
4617	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
4618	Vải nóng.	NEU	3
4619	Chất lượng sản phẩm tạm được, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt.	POS	4
4620	Hơi tiếc là không có màu da vs trắng 😭.	NEU	3
4621	Mình có góp ý nho nhỏ là shop gói hàng hơi sát đồ bên trong nên mình cắt hơi rén ạ.	POS	4
4622	Hi vọng shop ko giận.	NEU	3
4623	Bề ngoài mịn đẹp.	POS	4
4624	Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời.	POS	5
4625	Sản p.	NEU	3
4626	Giao hàng lâu quá !	NEG	2
4627	Dù vậy nhưng vẫn ưng lắm.	POS	4
4628	Trông khá chắc chắn.	POS	4
4629	Phải ghì mạnh mới rõ nét bút.	NEU	3
4630	Có điều quần của bộ gấu mk nhận có bị lỗi 1 đường dài, hơi tiếc nhưng vẫn sẽ cho shop 5*.	POS	4
4631	Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Rất đáng tiền Chất lượng sản phẩm tuyệt vời.	POS	5
4632	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,form rộng.	POS	5
4633	Tư vẫn nhiệt tình.	POS	4
4634	Shop phục vụ rất tốt.	POS	4
4635	Chất lượng sản phẩm tuyệt vời.	POS	5
4636	Không ưng lắm.	NEG	2
4637	Ok lắm k khác chi ở spa.	NEU	3
4638	Khi hỏi shop thì shop bơ, ko trả lời, không có trách nhiệm với công việc.	NEU	3
4639	Chỉ nhăn nhúm lại.	NEU	3
4640	Có như nào cũng phải trả lời cho khách.	NEG	1
4641	Thời gian giao hàng chậm, Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.	NEU	3
4642	Khác hình.	NEU	3
4643	Thời gian giao hàng nhanh phục vụ rất tốt 👍.	NEU	3
4644	Vui long kiem tra lai so do cua size xl .Thời gian giao hàng rất nhanh.	NEU	3
4645	mọi người nên mua nhé. sp đẹp lắm 😅😅😅.	POS	4
4646	Bởi zậy !	NEU	3
4647	Shop phục vụ tạm được Thời gian giao hàng chậm Chất lượng sản phẩm tốt.	POS	4
4648	Bạn chủ shop nhiệt tình tư vấn!!!!	POS	4
4649	Đẹp hơn mình mong đợi. 👍🏻👍🏻.	POS	5
4650	Chất dão không đanh.	NEU	3
4651	Hôm nay mình đã nhận được quần rồi shop na,không ngờ lại nhanh đến vậy.Mua lần đầu cứ lo lo, khi nhận hàng thì thấy rất thích nên tiếp tục mua thêm, lần này vẫn siêu ưng ý,hihi.Chất quần đẹp, co giãn tốt mặc thoải mái lắm luôn.	POS	4
4652	Chất vài đẹp, chủ shop nhiệt tình, thoải mái.	POS	4
4653	Lên môi mượt.	NEU	3
4654	Chất lượng sản phẩm tốt, giá hợp lý.	POS	4
4655	Áo đẹp lắm shop ơi.	POS	4
4656	Nhưng shop bán hàng rất tốt.	POS	4
4657	Vải đẹp.	POS	4
4658	Màu xấu nhất Thời gian giao hàng hơi trễ.	NEG	2
4659	Chất lượng sản phẩm tuyệt vời.	POS	5
4660	Không thể tin là 200k mà đc đôi giày như vậy !!!	POS	4
4661	cũng được.	NEU	3
4662	Sp mới date dài,.	NEU	3
4663	Giá rẻ.	NEU	3
4664	Rất đáng tiền.Túi đẹp.	POS	5
4665	Giao thiếu 1 sản phẩm ...	NEG	2
4666	Dây để máng áo k chắc chắn.	NEG	2
4667	Thời gian giao hàng rất nhanh, Phục vụ tốt, Hộp đẹp, Vớ ngắn chuẩn, Giày đẹp.	POS	5
4668	*1 điểm trừ nhỏ thôi là áo so với ảnh bị sai chữ 1 tẹo, nên xem ảnh thật trước khi mua.	POS	4
4669	Chất lượng sản phẩm tuyệt vời hàng giống như trên hình.	POS	5
4670	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
4671	Ko bao giờ mua lại.	NEG	1
4672	Rất đáng tiền!	POS	4
4673	Shop tư vấn nhiệt tình vui tính . giao hàng nhanh.	POS	4
4674	Hihi.	NEU	3
4675	Rẻ, đẹp.... ko chê vào đâu dc.	POS	5
4676	Tạm ổn.	NEU	3
4677	Hàng rất là đẹp nhé.	POS	4
4678	Mua lần 2 rồi nhé sản phẩm Ok nha.	NEU	3
4679	Hết đam mua đồ ở shoppee luôn rồi.	NEU	3
4680	Túi hơi cứng.	NEU	3
4681	Shop phục vụ rất tốt.	POS	4
4682	Mình mua sản phầm này và các sản phẩm khác tổng số lượng là 6 cái vậy shop giao thiếu cái này, Trên bill xuất ra thì thấy ghi có 5 sản phẩm, sau đó ghi bổ sung sản phẩm này vào nhưng không bỏ hàng vô hộp.	NEU	3
4683	Vải đẹp.	POS	5
4684	Áo mặc nhe, không nhăn đỡ nhiều thời gian giặt giữ.	NEU	3
4685	Mặc đã hơn mấy áo 2 trăm ngàn e mới mua 😂.	POS	4
4686	Chất lượng sản phẩm rất kém,mau k jong.	NEG	1
4687	Hên bên trong shop kỹ.	NEU	3
4688	Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền Chất lượng sản phẩm tuyệt vời.	POS	4
4689	Chất lượng sản phẩm tuyệt vời, chất đẹp.	POS	5
4690	Chất k đc đẹp.	NEG	1
4691	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
4692	Khá ưng ý.	POS	5
4693	Hàng chuẩn.	POS	4
4694	Hàng ko đẹp chất thua các shop khác nhiều.	NEG	2
4695	vải đẹp Rất đáng tiền.	POS	4
4696	Tạm đuợc.	NEU	3
4697	Shop tử tế.	POS	4
4698	Mặc thoáng như k mặc :)) chị chủ shop đáng yêu nhiệt tình.	POS	4
4699	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời.	POS	5
4700	giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	4
4701	Đóng giữ sp đẹp.	POS	4
4702	❤️ Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt.	POS	5
4703	Chỉ tới 45 kg thôi.	NEU	3
4704	Chất đẹp ạ.	POS	5
4705	Đóng gói sản phẩm rất đẹp và chắc chắn nhưng sản phẩm kh được như mong đợi.	POS	4
4706	Dây dai hơi nhỏ.	NEG	2
4707	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền.	POS	5
4708	Giao hàng tiêu chuẩn.	NEU	3
4709	Nhưng đường chỉ xấu.	NEG	2
4710	Nói chung những số tiền bỏ ra đều là đáng giá :3.	NEU	3
4711	Tệ.	NEG	1
4712	Thời gian giao hàng rất nhanh.	POS	4
4713	Nhận hàng xong thất vọng ghê gớm :(.	NEG	1
4714	Vải dày vừa, đẹp.	POS	5
4715	Rất đáng tiền.	POS	4
4716	K cần tiền nha b cskh như shit.	NEG	1
4717	Chất lượng sản phẩm tuyệt vời Đuóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.	POS	5
4718	Shop ơi vải êm lắm nha, ủng hộ dài dài.	POS	5
4719	Size XL chỉ tầm đến 60kg mặc đẹp, 64kg thì bị chật bó mặc ko đẹp lắm!!!	NEG	2
4720	Sp còn đang trải nghiệm, điểm trừ lớn nhất bán hàng điện tử k có Bill hay phiếu bảo hành gì đi kèm.	NEU	3
4721	Thời gian giao hàng rất nhanh.	POS	4
4722	Hàng y hình, đẹp.	POS	5
4723	Đặt áo cổ tròn thỳ giao áo trễ vaiii.	NEG	2
4724	Chất lượng sản phẩm tuyệt vời.	POS	5
4725	Mang nhẹ chân, rất đẹp.	POS	5
4726	Lúc mới lấy ko để ý kĩ ,h xem lại hóa ra áo bị loang màu, bạn bán hành lỗi cho khách sao ?	NEG	2
4727	hàng rất đẹp,giao hàng nhanh,tiện lợi tiền nào của ấy giá rất đẹp.	POS	4
4728	Áo đẹp hơn hình, chất mịn.	POS	5
4729	Kiểu dáng trễ vai khá đẹp.	NEU	3
4730	Rất đẹp chỉ có dập li hơi k đẹp tí thôi ạ.	POS	4
4731	Áo đẹp !!!	POS	5
4732	Khăn mềm,thấm hút tốt.	NEU	3
4733	So voi gia tiền thi vải ao ki nay hơi tệ.	NEG	2
4734	Chất quần cũng rất là ok mặc lên dáng đẹp đứng quần, vải co giãn rất thoải mái.	POS	4
4735	2 hũ 4 và 6 sx năm 2018 nhưng hũ 15 thì sx năm 2017.	POS	4
4736	Chất lượng sản phẩm tạm được, đèn bảo sáng hơn zin mà đêm bật lên như đấm vào mắt, ko thấy đường đi.	NEG	2
4737	Bị rách cổ :(.	NEU	3
4738	Thời gian giao hàng rất nhanh Rất đáng tiền Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.	POS	4
4739	Giống hình Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt.	POS	5
4740	Chất lượng sản phẩm rất kém.mk khuyen cac b k nen mua.o ngoai nhin áo to va len thi xù.tiền mất tật mang.mua ve mất công k dùng được.	NEG	1
4741	Làm theo hướng dẫn Ok.	NEU	3
4742	Sp tương đối ok so với giá cả.	POS	4
4743	Minh nhận đc hang quần ko ok bi rách.	NEU	3
4744	Chat đẹp và sp như hình.	POS	4
4745	Cũng tạm đc.	NEU	3
4746	Quần form chuẩn.	NEU	3
4747	Mua hoá đơn ít còn đc tặng quà nữa !!	POS	4
4748	Áo đẹp vải mịn lắm có cái là dáng tuii hơi nhỏ nên mặc hơi rộng , 🖤.	POS	4
4749	Chất lượng sản phẩm tuyệt vời danh xứng với thực 😘😘😘.	POS	5
4750	Loại này ngoài chợ 100k 3 cái.	NEU	3
4751	Kích thươc chuẩn chỉ có 42 thôi ko phải là 44.	NEU	3
4752	Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
4753	Lỗi ở bên shop thì shop nên chủ động mang màu đúng qua đổi cho khách.	NEG	2
4754	Giao hàng nhanh.	NEU	3
4755	Áo đẹp nhưng hơi dính bụi ạ.	POS	4
4756	Hàng đẹp, mà freesize chứ m cao 1m55, nặng 48kg mặc hơi rộng.	POS	4
4757	Giao hàng chậm.	NEG	2
4758	Sp làm cứng lên thì ok.	NEG	2
4759	Xin cảm ơn.	POS	4
4760	Áo đẹp, mọi người yên tâm mua hàng !	POS	5
4761	Chất lượng sản phẩm tuyệt vời vai rat dep.	POS	5
4762	Chạy phập phù hút sặc nước lại hút lại từ đầu.	NEG	1
4763	Váy đẹp, tuy nhiên các bạn nên mua nhỏ hơn 1 size vì nếu mua đúng size sẽ bị rộng.	POS	4
4764	Áo mát vải mềm dễ chịu Rất đáng tiền.	POS	4
4765	Thời gian giao hàng rất nhanh.	POS	4
4766	Áo đẹp và rất ok luôn cho shop 5⭐️.	POS	5
4767	Cũng gọi là ok.	NEU	3
4768	Đep quá xuất sắc.	POS	5
4769	Đóng gói sản phẩm kém Shop phục vụ tạm được.	POS	4
4770	K đág tiền.	NEG	1
4771	Tuyet voi .	POS	5
4772	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.	POS	5
4773	Order hình 5 shop gửi hàng hình 3.	NEU	3
4774	Bơm hết cỡ vẫn ấn được 1 chút.	POS	4
4775	Tệ quá tệ.	NEG	1
4776	Shop gấp váy cho vào túi chú ý 1 chút vì váy của mình bị gập gãy nếp.	NEU	3
4777	Chất vải cũng ổn.	NEU	3
4778	Không có chữ.	NEG	2
4779	Áo rất xinhh.	POS	4
4780	Điểm trừ là mùi áo lúc đầu hơi khó chịu.	NEU	3
4781	Màu vàng lại thành nâu.	NEU	3
4782	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền.	POS	5
4783	Vải đẹp, mà phần phủ trước hơi ngắn.	POS	4
4784	Nhưng chất vải mặc nóng.	NEU	3
4785	Tuyệt, siêu sexy.	POS	5
4786	Chủ shop nhiệt tình.	POS	5
4787	Không phải váy xẻ tà ạ.	NEU	3
4788	Vải ok nhưng tư vấn 1 đường lây szie 1 nẻo , tóm lại mua 3 cái k mặc vừa cái nào , đem cho anh trai mặc luôn .	NEG	1
4789	Mặc rất thoải mái thoáng mát.	POS	5
4790	Váy đẹp lắm shop ơi!	POS	4
4791	Shop phục vụ rất tốt,chất lượng sản phẩm tốt.	POS	5
4792	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt.	POS	5
4793	Shop phục vụ rất tốt.	POS	4
4794	Ngày tháng voucher chuẩn.	NEU	3
4795	Dây nuột nà, mềm mại lắm AE ạ.	POS	4
4796	Sản phẩm rất đáng tiền.Nhà mình bây giờ ngày nào cũng dc lau sạch bóng thay vì trước đây 1 tuần lau có 1 lần.	POS	4
4797	Váy có 2 lớp khá mỏng, được may xếp li khá ổn.	NEU	3
4798	Trong tầm giá là quá tuyệt.	NEU	3
4799	Chỉ hơi rộng so với mình.	NEU	3
4800	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn vừa ý hàng đẹp hơn hình.	POS	5
4801	Bao bọc rất cẩn thận.	POS	5
4802	Thực sự rất hài lòng, shop cực kỳ uy tín và biết cách chăm sóc khách hàng !	POS	5
4803	Áo kh giống hình.. chị chủ nch lúc đầu thì vui vẻ, đề nghị hoàn lại tiền cho mình nhưng đến giờ vẫn k thấy đâu.	NEG	1
4804	Vải mát, form ok.	POS	4
4805	Ko nghĩ lại nhận đc hàng quá vừa y như vay sợ voi gia tiền.	POS	4
4806	Giá rẻ.	NEU	3
4807	Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.	POS	5
4808	Chất kém Rất không đáng tiền.	NEG	1
4809	Thời gian giao hàng nhanh Đóng gói sản phẩm tạm được.	NEU	3
4810	Giá hợp lý.	POS	5
4811	Mua lần t2 r và hài lòng lắm 😊.	POS	4
4812	Chất lượng sản phẩm kém, box siêu nát, không được đẹp như trong hình và khá chật so với size.	NEG	1
4813	Shop bọc hàng rất cẩn thận.	POS	4
4814	Chất lượng sản phẩm tuyệt vời.	POS	5
4815	Dây dài mà vòng tay tui lại nhỏ.	NEU	3
4816	Chất lượng sản phẩm tạm được Thời gian giao hàng nhanh😀😀.	POS	4
4817	Đẹp.	NEU	3
4818	Gói hàng kĩ càng.	NEU	3
4819	Vẫn cho 5* vì chất lượng.	POS	5
4820	Hàng giống hình.	NEU	3
4821	Vừa ý.	NEU	3
4822	Hàng nói chung ok tiền nào của nấy nhưng shop cần chú ý hơn là chỉ thừa nhiều lắm với lại đường may lộn xộn nhưng mik thấy ok sau này sẽ ủng hộ shop nữa.	NEU	3
4823	Mà shop giao nhầm cho mình rồi nha mình dặt hai cái trái tim mà shop giao hình mặt cười.	NEG	2
4824	Áo sơ mi màu cam đât vải đẹp mặc mát.	POS	5
4825	Đặt một mẫu đã nhắn tin gửi ảnh cho shop cũng như chọn đúng màu vậy mà shop vẫn giao nhầm bộ khác.	NEU	3
4826	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Shop phục vụ rất tốt.	POS	5
4827	Chất lượng sản phẩm tuyệt vời.	POS	5
4828	Shop cần ktra trước khi đóng gói cho khách.	NEU	3
4829	Khui hàng thì thấy hộp bể thế này.	NEG	2
4830	Không phải lỗi shop hay áo :>.	NEU	3
4831	Tại nghĩ giá thành rẽ v .	NEU	3
4832	Chất bai nhão.	NEU	3
4833	Dinh mua thu 1 cai xem sao roi mua thêm vai mau nua vi minh cung thích vai len.	POS	4
4834	e ưng lắm. nhìn cute lớp 1e luôn ấy. sẽ ủng hộ shop tiếp ạ. 😘.	POS	5
4835	Thời gian giao hàng rất nhanh.	POS	4
4836	Bạn nào đang đắn đo thì mua ngay đi nhé 😍😍😍.	POS	4
4837	Chất lượng sản phẩm tuyệt vời hang dep y hinh.	POS	4
4838	Nhưng nhìn giày hơi cũ.	NEU	3
4839	Tất đep sẽ ủng hộ tiếp.	POS	5
4840	rất ưng ý, sẽ tiếp tục ủng hộ shop.	POS	4
4841	Mùi hôi ko chịu dc.	NEG	1
4842	Xin cảm ơn anh Dũng.	NEU	3
4843	Chất lượng sản phẩm tốt.	POS	4
4844	Chất vải rất ưng.	POS	5
4845	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn .	POS	5
4846	Mới bóc thì đẹp.	NEU	3
4847	Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,có điều màu hơi ố vàng.	NEG	2
4848	Vải tốt nhưng màu k giống hình.	POS	4
4849	Shop phuc vu ko tot...	NEG	1
4850	Áo đẹp nữa .	POS	4
4851	Giao hàng nhanh chóng,.	NEU	3
4852	Giao hàng hơi chậm.	NEG	2
4853	Thời gian giao hàng rất nhanh.	POS	4
4854	Áo rất đẹp...	POS	4
4855	Cho shop 5* ạ.	POS	5
4856	Áo rất đẹp, chất lượng tuyệt vời.	POS	4
4857	Chất lượng sp tương ứng giá sale, chất vải mỏng, bí, chi tiết áo tương đối chứ k đẹp y hình.	POS	4
4858	Vải chất đẹp , như hình.Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	5
4859	Chất lượng sản phẩm tuyệt vời.	POS	5
4860	Đóng gói sản phẩm rất đẹp và chắc chắn.	POS	4
4861	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đặc biệt giao hàng rất nhanh luôn ạ!	POS	4
4862	Hàng cũng được.	NEU	3
4863	Sẽ ủng hộ shop dài dài Chất lượng sản phẩm tuyệt vời.	POS	5
4864	Áo rộng 😭😭.	NEG	2
4865	Chất lượng ko đẹp như hình.	NEG	2
4866	Đặt ngay giờ flash sale vừa được mua hàng rẻ mà giao hàng nhanh nữa, đặt 11h mà 13h30 nhận được hàng rồi.	POS	5
4867	Chất lượng sản phẩm tuyệt vời.	POS	5
4868	Tạm được.	NEU	3
4869	Đẹp nhưng giáo hàng ko nhanh lắm.	NEU	3
4870	Nhưng mà tay áo không đồng đều cho lắm ạ.	NEG	2
4871	Nhưng chất OK.	NEU	3
4872	^^.	POS	4
4873	Đẹp thời gian giao hàng nhanh.	POS	5
4874	Có một sự nhầm lẫn nhưng shop xu ly nhanh gọn .	NEU	3
4875	Jao hk đúng hàng thật thất vọng, đã vậy shop còn đánh ja nguoc lại nguoi mua 1 sao làm ăn vậy ai dám mua chèn.. 🤬🤬🤬.	NEG	1
4876	Mặc chật.	NEU	3
4877	Có bịch nilon lại hộp cám nên ko sao.	NEU	3
4878	Chất lượng sản phẩm rất kém hàng lỗi vải Mh ta hang thi shop k chấp nhận.	NEG	1
4879	Thời gian giao hàng nhanh.	POS	4
4880	Mang êm chân lắm nè!	POS	4
4881	Hàng ok.	POS	4
4882	Đóng gói sản phẩm chắc chắn.hàng đúng như hình của sản phẩm.	POS	4
4883	K cả có tem mác Chất lượng sản phẩm tạm được.	NEU	3
4884	Shop giao thiếu hàng còn giao lộn tùm lum .	NEU	3
4885	Giao hàng không đúng.	NEG	1
4886	Vận chuyển hơi lâu.	NEG	2
4887	Hộp đã bị khui... mình mua tặng bạn và ship đến nơi bạn mình làm để nhận được tin nhắn không hài lòng, đó giờ mình chưa bao giờ đánh giá shop nào tệ vậy đâu nhưng shop nên xem lại sản phẩm bên shop.	NEG	2
4888	Đáng đồng tiền bát gạo lắm í chớ.	POS	4
4889	Giờ để không cho con mèo lên lắc.	NEU	3
4890	Giao hơi chậm nhưng mà sản phẩm cực kì chất lượng.	POS	4
4891	Chờ phải đến gần 10p mới nhận đc mã, chưa kể đặt xong ko thấy đơn hàng đâu làm mình tưởng lỗi nên đặt lại thành 2 lần liền.	NEG	2
4892	Đóng gói sản phẩm kém nhưng Shop phục vụ rất tốt.	POS	4
4893	Quần đẹp đường may chắc chắn chất mềm hơn mong đợi chúc shop buôn may bán đắt Thời gian giao hàng rất nhanh Shop phục vụ rất tốt.	POS	4
4894	Cách cư xử của nhân viên vs khách hàng quá tệ.	NEG	2
4895	Hàng dễ vỡ mà gói móp méo cầm gói hàng là thấy ở trong có gì luôn.mì thì nát hết.	NEU	3
4896	Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Thời gian giao hàng chậm Shop phục vụ khá tốt.	POS	5
4897	Giống tóc thật ghê luôn.	NEU	3
4898	Sẽ ủng hộ dài dài.	NEU	3
4899	Áo đẹp giao hàng nhanh 😘😘😘.	POS	4
4900	Very good.	POS	5
4901	Se ủng hộ shop tiếp.	POS	5
4902	Mỗi tội cái vỏ nilon bên ngoài hơi bẩn 1 tý thui.	NEG	2
4903	Chất lượng tốt.	POS	4
4904	Hàng đẹp, N size c mặc rộng e ạ.	POS	4
4905	Áo đẹp nhưng đường chỉ tùm lum ko cắt.	NEU	3
4906	Giao hàng nhanh nhưng ẩu.	NEG	2
4907	mũ k được to lắm nhưng mà e vẫn thích.	POS	4
4908	Cám ơn shop :))))).	NEU	3
4909	Vải ko đẹp như shop ns.....	NEG	2
4910	Hihi.	NEU	3
4911	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Rất đáng tiền.	POS	5
4912	Hàng đẹp, mặc vừa vặn, cảm ơn shop.	POS	4
4913	Hàng so với giá thì quá tuyệt...giao hàng nhanh...nói chung là quá ok.	POS	5
4914	Đóng gói sản phẩm kém hộp nát méo mó.	NEG	1
4915	Nhưng vẫn cho shop 5 sao vì Shop phục vụ khá tốt Thời gian giao hàng nhanh.	POS	5
4916	Chất lượng sản phẩm tuyệt vời.	POS	5
4917	Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiênf.	POS	5
4918	Thời gian giao hàng rất nhanh.	POS	4
4919	Chất lượng sản phẩm tuyệt vời.	POS	5
4920	Vẫn cho shop 5*.	POS	4
4921	váy lên form rất là đẹp, thướt tha lắm.	POS	5
4922	Sau bao nhiêu lần mua áo trên shopee lần này mình rất hài lòng.	POS	5
4923	E rất thích.	POS	4
4924	Đặt cùng 1 set 38 màu xanh nhưng quần nhỏ hơn .	NEU	3
4925	Gút.	POS	5
4926	K ra gì 🤗.	NEG	1
4927	Áo hơi to so với m nhưng về chất liệu thì ok.	POS	4
4928	Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Có cả hộp nữa 😆😆😆 sẽ còn ủng hộ <3.	POS	5
4929	Cheo đầu dê bán thịt chó.	NEG	1
4930	Ưng ý Rất đáng tiền Thời gian giao hàng rất nhanh.	POS	5
4931	Chất lượng sản phẩm tốt Thời gian giao hàng rất chậm.	POS	4
4932	Đặt hàng một kjeu giao hàng kjeu khác.	NEG	2
4933	Chỉ tiếc là cây hơi nhỏ nên sử dụng treo đồ nhẹ thôi.	NEU	3
4934	Đóng gói sản phẩm rất đẹp và chắc chắn, dạo này sao giao hàng chậm quá.	POS	4
4935	Áo chất len mềm mịn.	POS	4
4936	Shop phục vụ rất tốt Nhưng áo mình mặc bị rộng.	POS	4
4937	Tuy nhiên, đã sau áo có vài vệt đen, k biết lúc giặt có hết k?	NEU	3
4938	Ống chân k giống như mẫu may chất cũng được.	NEU	3
4939	Áo đẹp...	POS	4
4940	Hàng xấu kém chấy lượng.	NEG	1
4941	Phía ngoài balo mỏng, đường chỉ may bị lổi không được sắc sảo. sh phục vụ tôt,giao hang nhanh.	NEU	3
4942	Thời gian giao hàng rất nhanh, có hơi nhiều len thừa.	POS	4
4943	Sp đẹp nhưng cái quai đeo hơi mỏng cứ sợ tự nhiên đứt :((.	NEU	3
4944	Chất lượng sản phẩm tuyệt vời.rất ưng ý với sp.	POS	5
4945	Thích mỗi màu vải...	NEU	3
